Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Shots,Age,Nationality,Rank
2023/24,288147.0,Martin Ødegaard,Martin,Ødegaard,M,8.0,Left/Centre/Right Attacking Midfielder,Arsenal,ARS,77.0,25 years 250 days,Norway,19.0
2023/24,340425.0,João Pedro,João Pedro,Junqueira de Jesus,F,9.0,Centre Striker,Brighton & Hove Albion,BHA,75.0,22 years 332 days,Brazil,20.0
2023/24,41062.0,Dominic Calvert-Lewin,Dominic,Calvert-Lewin,F,9.0,Centre Striker,Everton,EVE,73.0,27 years 160 days,England,21.0
2023/24,344342.0,Matheus Cunha,Matheus Santos,Carneiro da Cunha,F,12.0,Striker,Wolverhampton Wanderers,WOL,73.0,25 years 88 days,Brazil,21.0
2023/24,323855.0,Rodrigo Muniz,Rodrigo,Muniz Carvalho,F,9.0,Striker,Fulham,FUL,73.0,23 years 111 days,Brazil,21.0
2023/24,323587.0,Morgan Gibbs-White,Morgan,Gibbs-White,M,10.0,Centre Central Midfielder,Nottingham Forest,NFO,71.0,24 years 209 days,England,24.0
2023/24,315742.0,Carlton Morris,Carlton,Morris,F,9.0,Centre Striker,Luton Town,LUT,71.0,28 years 251 days,England,24.0
2023/24,337402.0,Antoine Semenyo,Antoine,Semenyo,F,24.0,Centre Striker,Bournemouth,BOU,70.0,24 years 229 days,Ghana,26.0
2023/24,340669.0,Kai Havertz,Kai,Havertz,M,29.0,Left/Centre/Right Attacking Midfielder,Arsenal,ARS,69.0,25 years 73 days,Germany,27.0
2023/24,346333.0,Mohammed Kudus,Mohammed,Kudus,M,14.0,Midfielder,West Ham United,WHU,67.0,24 years 21 days,Ghana,28.0
2023/24,286396.0,Yoane Wissa,Yoane,Wissa,M,11.0,Left Winger,Brentford,BRE,67.0,27 years 355 days,DR Congo,28.0
2023/24,359465.0,Ross Barkley,Ross,Barkley,M,6.0,Centre Central Midfielder,Luton Town,LUT,66.0,30 years 262 days,England,30.0
2023/24,335653.0,Cody Gakpo,Cody,Gakpo,F,18.0,Centre Striker,Liverpool,LIV,66.0,25 years 108 days,Netherlands,30.0
2023/24,314636.0,Richarlison,Richarlison,de Andrade,F,9.0,Left/Centre/Right Second Striker,Tottenham Hotspur,TOT,62.0,27 years 105 days,Brazil,32.0
2023/24,160158.0,Rodri,Rodrigo,Hernández Cascante,M,16.0,Centre Central Midfielder,Manchester City,MCI,62.0,28 years 62 days,Spain,32.0
2023/24,19620.0,Marcus Rashford,Marcus,Rashford,F,10.0,Left/Centre Second Striker,Manchester United,MUN,62.0,26 years 297 days,England,32.0
2023/24,340932.0,Dominik Szoboszlai,Dominik,Szoboszlai,M,8.0,Left/Centre/Right Attacking Midfielder,Liverpool,LIV,60.0,23 years 303 days,Hungary,35.0
2023/24,336745.0,Leandro Trossard,Leandro,Trossard,F,19.0,Forward,Arsenal,ARS,60.0,29 years 263 days,Belgium,35.0
2023/24,340680.0,James Maddison,James,Maddison,M,10.0,Left/Centre/Right Attacking Midfielder,Tottenham Hotspur,TOT,58.0,27 years 274 days,England,37.0
2023/24,166789.0,Gabriel Martinelli,Gabriel Teodoro,Martinelli Silva,M,n/a,Midfielder,Arsenal,ARS,58.0,23 years 66 days,Brazil,37.0
2023/24,342058.0,Declan Rice,Declan,Rice,M,41.0,Centre Central Midfielder,Arsenal,ARS,58.0,25 years 222 days,England,37.0
