Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Appearances,Age,Nationality,Rank
2024/25,360685.0,Daniel Jebbison,Daniel,Jebbison,F,21.0,Centre Striker,Bournemouth,BOU,1.0,21 years 43 days,Canada,1.0
2024/25,160425.0,Mathias Jensen,Mathias,Jensen,M,8.0,Centre Central Midfielder,Brentford,BRE,1.0,28 years 235 days,Denmark,1.0
2024/25,343093.0,Raúl Jiménez,Raúl,Jiménez,F,7.0,Striker,Fulham,FUL,1.0,33 years 110 days,Mexico,1.0
2024/25,347089.0,Brennan Johnson,Brennan,Johnson,F,22.0,Centre Striker,Tottenham Hotspur,TOT,1.0,23 years 92 days,Wales,1.0
2024/25,361626.0,Ben Johnson,Ben,Johnson,D,18.0,Right Full Back,Ipswich Town,IPS,1.0,24 years 212 days,England,1.0
2024/25,340425.0,João Pedro,João Pedro,Junqueira de Jesus,F,9.0,Centre Striker,Brighton & Hove Albion,BHA,1.0,22 years 332 days,Brazil,1.0
2024/25,300156.0,James Justin,James,Justin,D,n/a,Defender,Leicester City,LEI,1.0,26 years 182 days,England,1.0
2024/25,359409.0,Daichi Kamada,Daichi,Kamada,M,18.0,Centre Attacking Midfielder,Crystal Palace,CRY,1.0,28 years 18 days,Japan,1.0
2024/25,48260.0,Michael Keane,Michael,Keane,D,5.0,Centre Central Defender,Everton,EVE,1.0,31 years 225 days,England,1.0
2024/25,359178.0,Lloyd Kelly,Lloyd,Kelly,D,25.0,Central Defender,Newcastle United,NEW,1.0,25 years 322 days,England,1.0
2024/25,342472.0,Milos Kerkez,Milos,Kerkez,D,3.0,Left Full Back,Bournemouth,BOU,1.0,20 years 290 days,Hungary,1.0
2024/25,360341.0,Maximilian Kilman,Maximilian,Kilman,D,26.0,Left/Centre Central Defender,West Ham United,WHU,1.0,27 years 92 days,England,1.0
2024/25,340631.0,Justin Kluivert,Justin,Kluivert,F,19.0,Left/Right Winger,Bournemouth,BOU,1.0,25 years 110 days,Netherlands,1.0
2024/25,279619.0,Ibrahima Konaté,Ibrahima,Konaté,D,5.0,Centre Central Defender,Liverpool,LIV,1.0,25 years 90 days,France,1.0
2024/25,160422.0,Ezri Konsa,Ezri,Konsa,D,4.0,Centre Central Defender,Aston Villa,AVL,1.0,26 years 305 days,England,1.0
2024/25,340665.0,Mateo Kovacic,Mateo,Kovacic,M,8.0,Central Midfielder,Manchester City,MCI,1.0,30 years 109 days,Croatia,1.0
2024/25,349514.0,Emil Krafth,Emil,Krafth,D,17.0,Right Full Back,Newcastle United,NEW,1.0,30 years 21 days,Sweden,1.0
2024/25,336788.0,Victor Kristiansen,Victor,Kristiansen,D,16.0,Left Full Back,n/a,n/a,1.0,21 years 251 days,Denmark,1.0
2024/25,346333.0,Mohammed Kudus,Mohammed,Kudus,M,14.0,Midfielder,West Ham United,WHU,1.0,24 years 21 days,Ghana,1.0
2024/25,340568.0,Dejan Kulusevski,Dejan,Kulusevski,M,21.0,Right Winger,Tottenham Hotspur,TOT,1.0,24 years 120 days,Sweden,1.0
2024/25,345120.0,Roméo Lavia,Roméo,Lavia,M,45.0,Centre Defensive Midfielder,Chelsea,CHE,1.0,20 years 230 days,Belgium,1.0
2024/25,336342.0,Mario Lemina,Mario,Lemina,M,5.0,Centre Central Midfielder,Wolverhampton Wanderers,WOL,1.0,30 years 357 days,Gabon,1.0
2024/25,321656.0,Bernd Leno,Bernd,Leno,G,1.0,Goalkeeper,Fulham,FUL,1.0,32 years 172 days,Germany,1.0
2024/25,340460.0,Jefferson Lerma,Jefferson,Lerma,M,8.0,Centre Central Midfielder,Crystal Palace,CRY,1.0,29 years 303 days,Colombia,1.0
2024/25,322362.0,Rico Lewis,Rico,Lewis,D,82.0,Right Full Back,Manchester City,MCI,1.0,19 years 276 days,England,1.0
2024/25,317507.0,Keane Lewis-Potter,Keane,Lewis-Potter,F,23.0,Striker,Brentford,BRE,1.0,23 years 183 days,England,1.0
2024/25,344361.0,Tino Livramento,Tino,Livramento,D,21.0,Right Full Back,Newcastle United,NEW,1.0,21 years 285 days,England,1.0
2024/25,362697.0,Pedro Neto,Pedro,Lomba Neto,F,7.0,Left/Right Winger,Chelsea,CHE,1.0,24 years 167 days,Portugal,1.0
2024/25,135591.0,Sean Longstaff,Sean,Longstaff,M,36.0,Centre Central Midfielder,Newcastle United,NEW,1.0,26 years 298 days,England,1.0
2024/25,337950.0,Sasa Lukic,Sasa,Lukic,M,20.0,Central Midfielder,Fulham,FUL,1.0,28 years 10 days,Serbia,1.0
2024/25,335976.0,Massimo Luongo,Massimo,Luongo,M,25.0,Centre Central Midfielder,Ipswich Town,IPS,1.0,31 years 333 days,Australia,1.0
2024/25,359330.0,Ian Maatsen,Ian,Maatsen,D,22.0,Left Full Back,Aston Villa,AVL,1.0,22 years 166 days,Netherlands,1.0
2024/25,340453.0,Alexis Mac Allister,Alexis,Mac Allister,M,10.0,Left/Centre/Right Attacking Midfielder,Liverpool,LIV,1.0,25 years 243 days,Argentina,1.0
2024/25,340680.0,James Maddison,James,Maddison,M,10.0,Left/Centre/Right Attacking Midfielder,Tottenham Hotspur,TOT,1.0,27 years 274 days,England,1.0
2024/25,161345.0,Harry Maguire,Harry,Maguire,D,5.0,Centre Central Defender,Manchester United,MUN,1.0,31 years 171 days,England,1.0
2024/25,328496.0,Kobbie Mainoo,Kobbie,Mainoo,M,37.0,Centre Central Midfielder,Manchester United,MUN,1.0,19 years 126 days,England,1.0
2024/25,281359.0,José Sá,José Pedro,Malheiro de Sá,G,1.0,Goalkeeper,Wolverhampton Wanderers,WOL,1.0,31 years 219 days,Portugal,1.0
2024/25,166789.0,Gabriel Martinelli,Gabriel Teodoro,Martinelli Silva,M,n/a,Midfielder,Arsenal,ARS,1.0,23 years 66 days,Brazil,1.0
2024/25,252275.0,Emiliano Martínez,Emiliano,Martínez,G,23.0,Goalkeeper,Aston Villa,AVL,1.0,31 years 356 days,Argentina,1.0
2024/25,318813.0,Lisandro Martínez,Lisandro,Martínez,D,6.0,Central Defender,Manchester United,MUN,1.0,26 years 218 days,Argentina,1.0
2024/25,302911.0,Jean-Philippe Mateta,Jean-Philippe,Mateta,F,14.0,Centre Striker,Crystal Palace,CRY,1.0,27 years 56 days,France,1.0
2024/25,343404.0,Stephy Mavididi,Stephy,Mavididi,F,10.0,Centre Striker,Leicester City,LEI,1.0,26 years 84 days,England,1.0
2024/25,345765.0,Konstantinos Mavropanos,Konstantinos,Mavropanos,D,15.0,Centre Central Defender,West Ham United,WHU,1.0,26 years 256 days,Greece,1.0
2024/25,362814.0,Noussair Mazraoui,Noussair,Mazraoui,D,3.0,Right Full Back,Manchester United,MUN,1.0,26 years 283 days,Morocco,1.0
