Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,ClearanceOffLine,Age,Nationality,Rank
2018/19,321317.0,Lee Peltier,Lee,Peltier,D,21.0,Right Full Back,n/a,n/a,1.0,37 years 256 days,England,11.0
2018/19,19300.0,Tim Ream,Tim,Ream,D,13.0,Left/Centre Central Defender,n/a,n/a,1.0,36 years 323 days,United States,11.0
2018/19,342058.0,Declan Rice,Declan,Rice,M,41.0,Centre Central Midfielder,n/a,n/a,1.0,25 years 222 days,England,11.0
2018/19,289288.0,Pedro,Pedro,Rodríguez Ledesma,F,9.0,Left/Right Winger,n/a,n/a,1.0,37 years 26 days,Spain,11.0
2018/19,315688.0,Antonio Rüdiger,Antonio,Rüdiger,D,22.0,Centre Central Defender,n/a,n/a,1.0,31 years 173 days,Germany,11.0
2018/19,275377.0,Fabian Schär,Fabian,Schär,D,n/a,Defender,Newcastle United,NEW,1.0,32 years 247 days,Switzerland,11.0
2018/19,31291.0,John Stones,John,Stones,D,5.0,Centre Central Defender,Manchester City,MCI,1.0,30 years 87 days,England,11.0
2018/19,359468.0,Charlie Taylor,Charlie,Taylor,D,21.0,Left Full Back,Burnley,BUR,1.0,30 years 340 days,England,11.0
2018/19,363000.0,Kieran Trippier,Kieran,Trippier,D,n/a,Right Full Back,n/a,n/a,1.0,33 years 339 days,England,11.0
2018/19,326457.0,Jan Vertonghen,Jan,Vertonghen,D,14.0,Centre Central Defender,n/a,n/a,1.0,37 years 121 days,Belgium,11.0
2018/19,337217.0,Matej Vydra,Matej,Vydra,F,11.0,Forward,Burnley,BUR,1.0,32 years 114 days,Czech Republic,11.0
2018/19,50015.0,Kyle Walker,Kyle,Walker,D,2.0,Right Full Back,Manchester City,MCI,1.0,34 years 87 days,England,11.0
2018/19,345007.0,James Ward-Prowse,James,Ward-Prowse,M,8.0,Central Midfielder,n/a,n/a,1.0,29 years 296 days,England,11.0
2018/19,341954.0,Ashley Young,Ashley,Young,D,18.0,Defender,n/a,n/a,1.0,39 years 45 days,England,11.0
2018/19,11119.0,Jonathan Hogg,Jonathan,Hogg,M,6.0,Centre Central Midfielder,Huddersfield Town,HUD,0.0,35 years 261 days,England,55.0
2018/19,17457.0,José Izquierdo,José,Izquierdo,F,21.0,Left Winger,n/a,n/a,0.0,32 years 47 days,Colombia,55.0
2018/19,362816.0,Aaron Wan-Bissaka,Aaron,Wan-Bissaka,D,29.0,Right Full Back,n/a,n/a,0.0,26 years 271 days,England,55.0
2017/18,340756.0,Shane Duffy,Shane,Duffy,D,4.0,Centre Central Defender,Brighton & Hove Albion,BHA,4.0,32 years 235 days,Ireland,1.0
2017/18,349855.0,Ciaran Clark,Ciaran,Clark,D,26.0,Centre Central Defender,n/a,n/a,3.0,34 years 332 days,Ireland,2.0
2017/18,342058.0,Declan Rice,Declan,Rice,M,41.0,Centre Central Midfielder,n/a,n/a,3.0,25 years 222 days,England,2.0
2017/18,342164.0,Héctor Bellerín,Héctor,Bellerín,D,2.0,Right Full Back,n/a,n/a,2.0,29 years 157 days,Spain,4.0
2017/18,126112.0,Steven Davis,Steven,Davis,M,10.0,Centre Central Midfielder,n/a,n/a,2.0,39 years 235 days,Northern Ireland,4.0
2017/18,289237.0,Aleksandar Dragovic,Aleksandar,Dragovic,D,15.0,Defender,n/a,n/a,2.0,33 years 170 days,Austria,4.0
2017/18,13742.0,Lewis Dunk,Lewis,Dunk,D,30.0,Defender,Brighton & Hove Albion,BHA,2.0,32 years 276 days,England,4.0
2017/18,300740.0,Phil Jagielka,Phil,Jagielka,D,6.0,Centre Central Defender,n/a,n/a,2.0,42 years 6 days,England,4.0
2017/18,30562.0,Christian Kabasele,Christian,Kabasele,D,27.0,Centre Central Defender,n/a,n/a,2.0,33 years 181 days,Belgium,4.0
